Country,latitude,longitutde,qibla_dir
Somalia,8.3676771,49.083416,58.50816668110658
South Africa,-28.8166236,24.991639,58.50816668110658
South Korea,36.638392,127.6961188,58.50816668110658
South Sudan,7.8699431,29.6667897,58.50816668110658
Spain,39.3260685,-4.8379791,58.50816668110658
Sri Lanka,7.5554942,80.7137847,58.50816668110658
State of Palestine,31.462420950000002,34.262716572130714,58.50816668110658
Sudan,14.5844444,29.4917691,58.50816668110658
Suriname,4.1413025,-56.0771187,58.50816668110658
Sweden,59.6749712,14.5208584,58.50816668110658
Switzerland,46.7985624,8.2319736,58.50816668110658
Syria,34.6401861,39.0494106,58.50816668110658
Taiwan,23.9739374,120.9820179,58.50816668110658
Tajikistan,38.6281733,70.8156541,58.50816668110658
Tanzania,-6.5247123,35.7878438,58.50816668110658
Thailand,14.8971921,100.83273,58.50816668110658
The Bahamas,24.7736546,-78.0000547,58.50816668110658
Timor-Leste,-8.7443169,126.063482,58.50816668110658
Togo,8.7800265,1.0199765,58.50816668110658
Trinidad and Tobago,10.7466905,-61.0840075,58.50816668110658
Tunisia,33.8439408,9.400138,58.50816668110658
Turkey,38.9597594,34.9249653,58.50816668110658
Turkmenistan,39.3763807,59.3924609,58.50816668110658
Uganda,1.5333554,32.2166578,58.50816668110658
Ukraine,49.4871968,31.2718321,58.50816668110658
United Arab Emirates,24.0002488,53.9994829,58.50816668110658
United Kingdom,54.7023545,-3.2765753,58.50816668110658
United States,39.7837304,-100.445882,58.50816668110658
Uruguay,-32.8755548,-56.0201525,58.50816668110658
Uzbekistan,41.32373,63.9528098,58.50816668110658
Venezuela,8.0018709,-66.1109318,58.50816668110658
Vietnam,15.9266657,107.9650855,58.50816668110658
Western Sahara,24.1797324,-13.7667848,58.50816668110658
Yemen,16.3471243,47.8915271,58.50816668110658
Zambia,-14.5189121,27.5589884,58.50816668110658
Zimbabwe,-18.4554963,29.7468414,58.50816668110658
